path,name,size_bytes,size_mb,sha1,type,issues,has_issues,is_duplicate
_loose_import\postcss.config.854b3875.js,postcss.config.854b3875.js,82,0.0,8860a68bc6ae8745e3db0b6d090129720e5ecc80,JS,,False,True
vendor\vendor\js\es.b337e3e6.js,es.b337e3e6.js,1081,0.0,c8ed6396d34e8a699de5e12b577ccbc21ba468c6,JS,,False,False
vendor\select2\dist\select2_custom.e65898ee.css,select2_custom.e65898ee.css,804,0.0,833eb16daa20eefc501b137f40f19fd927fef4f9,CSS,,False,True
vendor\js\js\jquery-ui.min.c6b0df13.js,jquery-ui.min.c6b0df13.js,219,0.0,fb0172f596dbd6b38af1589b804b877216bf73e4,JS,,False,False
vendor\js\js\select2.full.min.6f4da37e.js,select2.full.min.6f4da37e.js,107,0.0,bed7bed4e8429fdad8e962d47dc844576f9038ad,JS,,False,False
vendor\jquery\dist\jquery.min.c0338651.js,jquery.min.c0338651.js,80,0.0,47d2fc18ae8e4c61232d89545a500cb97bfeb2bc,JS,,False,True
vendor\dist\css\select2.min.9233c273.css,select2.min.9233c273.css,27,0.0,8aed4a464c2f9b2b5117b391610ce16e28d52461,CSS,,False,False
vendor\dist\js\jquery-ui.min.4e1155b3.js,jquery-ui.min.4e1155b3.js,222,0.0,50cc08ab8d1e40a4ff9ccf9540f5776e91a96c8b,JS,,False,False
vendor\dist\js\select2.min.2ed44157.js,select2.min.2ed44157.js,2014,0.0,050153a695dd793dd06f5dbb01b193827dbc290c,JS,,False,False
vendor\css\css\select2-contrast.423197f5.css,select2-contrast.423197f5.css,1254,0.0,bcf43cea974e81e2c19db984d51508b4069a6949,CSS,,False,False
vendor\css\css\select2.1e3ac741.css,select2.1e3ac741.css,477,0.0,d1bbfce39f8cdc87a855ad9ac1042f7713213bca,CSS,,False,False
vendor\css\css\select2.min-1.d5edc301.css,select2.min-1.d5edc301.css,3131,0.0,0632e864080311be586b1bcaafb63caf90d38a43,CSS,,False,False
vendor\css\css\select2.min.0a9f7446.css,select2.min.0a9f7446.css,28,0.0,1fe245dbc4ef403857f552b5ec594468acd169f8,CSS,,False,False
vendor\autocomplete_light_custom\js\jquery.init.690aa069.js,jquery.init.690aa069.js,49,0.0,11e459de950e2164addc5a1f139c9bc5aba0842b,JS,,False,False
vendor\autocomplete_light_custom\js\select2.bfea824d.js,select2.bfea824d.js,5699,0.01,4fb458b407b87e77a7a3286ac4203067c544eee5,JS,,False,False
vendor\autocomplete_light_custom\js\select2.min.d4d1494c.js,select2.min.d4d1494c.js,2015,0.0,f1446c2aadb8c326fd0ac6de1bab21f9b9111af5,JS,,False,False
taller\common\css\admin_documento.037a2d95.css,admin_documento.037a2d95.css,4527,0.0,3d2665e7c89d3067fd90cc977311a5e870f42381,CSS,,False,False
taller\common\css\admin_documento_print.6e9f7f85.css,admin_documento_print.6e9f7f85.css,1750,0.0,ce48ff2a86f8cfa5d7367c2da47c473449d7aff3,CSS,,False,False
taller\common\css\configuracion_futurista.3f58640b.css,configuracion_futurista.3f58640b.css,8489,0.01,ae2807d856831f419507bfa605e5921ecbde6c5e,CSS,,False,False
taller\common\css\dashboard.17bf9091.css,dashboard.17bf9091.css,594,0.0,7982955e9ea2231cabfccf356eb129d17fd8abbb,CSS,,False,False
taller\common\css\dashboard_custom.b38104f0.css,dashboard_custom.b38104f0.css,121,0.0,3125fa0140515113c014f79e8cf64ca10c5bad90,CSS,,False,False
taller\common\css\dashboard_moderno.5efb9ef4.css,dashboard_moderno.5efb9ef4.css,677,0.0,98d79ff4e43be35aedf09d060f31196c5c4ee7f5,CSS,,False,False
taller\common\css\dashboard_styles.efa39801.css,dashboard_styles.efa39801.css,641,0.0,6c866d78e78f37ebdf837c6bf033bf3f28f00181,CSS,,False,False
taller\common\css\documentos_form.6f56ac4b.css,documentos_form.6f56ac4b.css,1095,0.0,a75a86c15e2afd8ae33fc013bc873030ffd47802,CSS,,False,False
